method,category,params,return_annotation,doc_first_line,trace_type_if_adder,doc_len
__init__,constructor,"['self', 'data', 'layout', 'frames', 'skip_invalid', '**kwargs']",,Create a new :class:Figure instance,,2414
for_each_trace,mutator,"['self', 'fn', 'selector', 'row', 'col', 'secondary_y']","""Figure""",Apply a function to all traces that satisfy the specified selection,,1726
update,mutator,"['self', 'dict1', 'overwrite', '**kwargs']","""Figure""",Update the properties of the figure with a dict and/or with,,1330
update_layout,mutator,"['self', 'dict1', 'overwrite', '**kwargs']","""Figure""",Update the properties of the figure's layout with a dict and/or with,,645
update_traces,mutator,"['self', 'patch', 'selector', 'row', 'col', 'secondary_y', 'overwrite', '**kwargs']","""Figure""",Perform a property update operation on all traces that satisfy the,,2222
for_each_annotation,other,"['self', 'fn', 'selector', 'row', 'col', 'secondary_y']",,Apply a function to all annotations that satisfy the specified selection,,1894
for_each_coloraxis,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all coloraxis objects that satisfy the,,1087
for_each_geo,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all geo objects that satisfy the,,1039
for_each_layout_image,other,"['self', 'fn', 'selector', 'row', 'col', 'secondary_y']",,Apply a function to all images that satisfy the specified selection,,1829
for_each_legend,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all legend objects that satisfy the,,1063
for_each_map,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all map objects that satisfy the,,1039
for_each_mapbox,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all mapbox objects that satisfy the,,1063
for_each_polar,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all polar objects that satisfy the,,1055
for_each_scene,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all scene objects that satisfy the,,1055
for_each_selection,other,"['self', 'fn', 'selector', 'row', 'col', 'secondary_y']",,Apply a function to all selections that satisfy the specified selection,,1881
for_each_shape,other,"['self', 'fn', 'selector', 'row', 'col', 'secondary_y']",,Apply a function to all shapes that satisfy the specified selection,,1829
for_each_smith,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all smith objects that satisfy the,,1055
for_each_ternary,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all ternary objects that satisfy the,,1071
for_each_xaxis,other,"['self', 'fn', 'selector', 'row', 'col']","""Figure""",Apply a function to all xaxis objects that satisfy the,,1055
for_each_yaxis,other,"['self', 'fn', 'selector', 'row', 'col', 'secondary_y']","""Figure""",Apply a function to all yaxis objects that satisfy the,,1649
select_annotations,other,"['self', 'selector', 'row', 'col', 'secondary_y']",,Select annotations from a particular subplot cell and/or annotations,,1930
select_coloraxes,other,"['self', 'selector', 'row', 'col']",,Select coloraxis subplot objects from a particular subplot cell,,1147
select_geos,other,"['self', 'selector', 'row', 'col']",,Select geo subplot objects from a particular subplot cell,,1093
select_layout_images,other,"['self', 'selector', 'row', 'col', 'secondary_y']",,Select images from a particular subplot cell and/or images,,1860
select_legends,other,"['self', 'selector', 'row', 'col']",,Select legend subplot objects from a particular subplot cell,,1120
select_mapboxes,other,"['self', 'selector', 'row', 'col']",,Select mapbox subplot objects from a particular subplot cell,,1120
select_maps,other,"['self', 'selector', 'row', 'col']",,Select map subplot objects from a particular subplot cell,,1093
select_polars,other,"['self', 'selector', 'row', 'col']",,Select polar subplot objects from a particular subplot cell,,1111
select_scenes,other,"['self', 'selector', 'row', 'col']",,Select scene subplot objects from a particular subplot cell,,1111
select_selections,other,"['self', 'selector', 'row', 'col', 'secondary_y']",,Select selections from a particular subplot cell and/or selections,,1916
select_shapes,other,"['self', 'selector', 'row', 'col', 'secondary_y']",,Select shapes from a particular subplot cell and/or shapes,,1860
select_smiths,other,"['self', 'selector', 'row', 'col']",,Select smith subplot objects from a particular subplot cell,,1111
select_ternaries,other,"['self', 'selector', 'row', 'col']",,Select ternary subplot objects from a particular subplot cell,,1129
select_xaxes,other,"['self', 'selector', 'row', 'col']",,Select xaxis subplot objects from a particular subplot cell,,1111
select_yaxes,other,"['self', 'selector', 'row', 'col', 'secondary_y']",,Select yaxis subplot objects from a particular subplot cell,,1705
update_annotations,other,"['self', 'patch', 'selector', 'row', 'col', 'secondary_y', '**kwargs']","""Figure""",Perform a property update operation on all annotations that satisfy the,,2187
update_coloraxes,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all coloraxis objects,,1581
update_geos,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all geo objects,,1527
update_layout_images,other,"['self', 'patch', 'selector', 'row', 'col', 'secondary_y', '**kwargs']","""Figure""",Perform a property update operation on all images that satisfy the,,2117
update_legends,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all legend objects,,1554
update_mapboxes,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all mapbox objects,,1554
update_maps,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all map objects,,1527
update_polars,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all polar objects,,1545
update_scenes,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all scene objects,,1545
update_selections,other,"['self', 'patch', 'selector', 'row', 'col', 'secondary_y', '**kwargs']","""Figure""",Perform a property update operation on all selections that satisfy the,,2173
update_shapes,other,"['self', 'patch', 'selector', 'row', 'col', 'secondary_y', '**kwargs']","""Figure""",Perform a property update operation on all shapes that satisfy the,,2117
update_smiths,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all smith objects,,1545
update_ternaries,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all ternary objects,,1563
update_xaxes,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', '**kwargs']","""Figure""",Perform a property update operation on all xaxis objects,,1545
update_yaxes,other,"['self', 'patch', 'selector', 'overwrite', 'row', 'col', 'secondary_y', '**kwargs']","""Figure""",Perform a property update operation on all yaxis objects,,2139
add_hline,shape_helper,"['self', 'y', 'row', 'col', 'exclude_empty_subplots', 'annotation', '**kwargs']","""Figure""",Add a horizontal line to a plot or subplot that extends infinitely in the,,1914
add_hrect,shape_helper,"['self', 'y0', 'y1', 'row', 'col', 'exclude_empty_subplots', 'annotation', '**kwargs']","""Figure""",Add a rectangle to a plot or subplot that extends infinitely in the,,2102
add_vline,shape_helper,"['self', 'x', 'row', 'col', 'exclude_empty_subplots', 'annotation', '**kwargs']","""Figure""",Add a vertical line to a plot or subplot that extends infinitely in the,,1910
add_vrect,shape_helper,"['self', 'x0', 'x1', 'row', 'col', 'exclude_empty_subplots', 'annotation', '**kwargs']","""Figure""",Add a rectangle to a plot or subplot that extends infinitely in the,,2102
set_subplots,subplot_builder,"['self', 'rows', 'cols', '**make_subplots_args']","""Figure""","Add subplots to this figure. If the figure already contains subplots,",,170
add_trace,trace_add_core,"['self', 'trace', 'row', 'col', 'secondary_y', 'exclude_empty_subplots']","""Figure""",Add a trace to the figure,,2493
add_traces,trace_add_core,"['self', 'data', 'rows', 'cols', 'secondary_ys', 'exclude_empty_subplots']","""Figure""",Add traces to the figure,,2097
add_annotation,trace_adder,"['self', 'arg', 'align', 'arrowcolor', 'arrowhead', 'arrowside', 'arrowsize', 'arrowwidth', 'ax', 'axref', 'ay', 'ayref', 'bgcolor', 'bordercolor', 'borderpad', 'borderwidth', 'captureevents', 'clicktoshow', 'font', 'height', 'hoverlabel', 'hovertext', 'name', 'opacity', 'showarrow', 'standoff', 'startarrowhead', 'startarrowsize', 'startstandoff', 'templateitemname', 'text', 'textangle', 'valign', 'visible', 'width', 'x', 'xanchor', 'xclick', 'xref', 'xshift', 'y', 'yanchor', 'yclick', 'yref', 'yshift', 'row', 'col', 'secondary_y', 'exclude_empty_subplots', '**kwargs']","""Figure""",Create and add a new annotation to the figure's layout,,13366
